geo_value,location_name,population,state
01001,Autauga County,55869,AL
01003,Baldwin County,223234,AL
01005,Barbour County,24686,AL
01007,Bibb County,22394,AL
01009,Blount County,57826,AL
01011,Bullock County,10101,AL
01013,Butler County,19448,AL
01015,Calhoun County,113605,AL
01017,Chambers County,33254,AL
01019,Cherokee County,26196,AL
01021,Chilton County,44428,AL
01023,Choctaw County,12589,AL
01025,Clarke County,23622,AL
01027,Clay County,13235,AL
01029,Cleburne County,14910,AL
01031,Coffee County,52342,AL
01033,Colbert County,55241,AL
01035,Conecuh County,12067,AL
01037,Coosa County,10663,AL
01039,Covington County,37049,AL
01041,Crenshaw County,13772,AL
01043,Cullman County,83768,AL
01045,Dale County,49172,AL
01047,Dallas County,37196,AL
01049,DeKalb County,71513,AL
01051,Elmore County,81209,AL
01053,Escambia County,36633,AL
01055,Etowah County,102268,AL
01057,Fayette County,16302,AL
01059,Franklin County,31362,AL
01061,Geneva County,26271,AL
01063,Greene County,8111,AL
01065,Hale County,14651,AL
01067,Henry County,17205,AL
01069,Houston County,105882,AL
01071,Jackson County,51626,AL
01073,Jefferson County,658573,AL
01075,Lamar County,13805,AL
01077,Lauderdale County,92729,AL
01079,Lawrence County,32924,AL
01081,Lee County,164542,AL
01083,Limestone County,98915,AL
01085,Lowndes County,9726,AL
01087,Macon County,18068,AL
01089,Madison County,372909,AL
01091,Marengo County,18863,AL
01093,Marion County,29709,AL
01095,Marshall County,96774,AL
01097,Mobile County,413210,AL
01099,Monroe County,20733,AL
01101,Montgomery County,226486,AL
01103,Morgan County,119679,AL
01105,Perry County,8923,AL
01107,Pickens County,19930,AL
01109,Pike County,33114,AL
01111,Randolph County,22722,AL
01113,Russell County,57961,AL
01115,St. Clair County,89512,AL
01117,Shelby County,217702,AL
01119,Sumter County,12427,AL
01121,Talladega County,79978,AL
01123,Tallapoosa County,40367,AL
01125,Tuscaloosa County,209355,AL
01127,Walker County,63521,AL
01129,Washington County,16326,AL
01131,Wilcox County,10373,AL
01133,Winston County,23629,AL
04001,Apache County,71887,AZ
04003,Cochise County,125922,AZ
04005,Coconino County,143476,AZ
04007,Gila County,54018,AZ
04009,Graham County,38837,AZ
04011,Greenlee County,9498,AZ
04012,La Paz County,21108,AZ
04013,Maricopa County,4485414,AZ
04015,Mohave County,212181,AZ
04017,Navajo County,110924,AZ
04019,Pima County,1047279,AZ
04021,Pinal County,462789,AZ
04023,Santa Cruz County,46498,AZ
04025,Yavapai County,235099,AZ
04027,Yuma County,213787,AZ
05001,Arkansas County,17486,AR
05003,Ashley County,19657,AR
05005,Baxter County,41932,AR
05007,Benton County,279141,AR
05009,Boone County,37432,AR
05011,Bradley County,10763,AR
05013,Calhoun County,5189,AR
05015,Carroll County,28380,AR
05017,Chicot County,10118,AR
05019,Clark County,22320,AR
05021,Clay County,14551,AR
05023,Cleburne County,24919,AR
05025,Cleveland County,7956,AR
05027,Columbia County,23457,AR
05029,Conway County,20846,AR
05031,Craighead County,110332,AR
05033,Crawford County,63257,AR
05035,Crittenden County,47955,AR
05037,Cross County,16419,AR
05039,Dallas County,7009,AR
05041,Desha County,11361,AR
05043,Drew County,18219,AR
05045,Faulkner County,126007,AR
05047,Franklin County,17715,AR
05049,Fulton County,12477,AR
05051,Garland County,99386,AR
05053,Grant County,18265,AR
05055,Greene County,45325,AR
05057,Hempstead County,21532,AR
05059,Hot Spring County,33771,AR
05061,Howard County,13202,AR
05063,Independence County,37825,AR
05065,Izard County,13629,AR
05067,Jackson County,16719,AR
05069,Jefferson County,66824,AR
05071,Johnson County,26578,AR
05073,Lafayette County,6624,AR
05075,Lawrence County,16406,AR
05077,Lee County,8857,AR
05079,Lincoln County,13024,AR
05081,Little River County,12259,AR
05083,Logan County,21466,AR
05085,Lonoke County,73309,AR
05087,Madison County,16576,AR
05089,Marion County,16694,AR
05091,Miller County,43257,AR
05093,Mississippi County,40651,AR
05095,Monroe County,6701,AR
05097,Montgomery County,8986,AR
05099,Nevada County,8252,AR
05101,Newton County,7753,AR
05103,Ouachita County,23382,AR
05105,Perry County,10455,AR
05107,Phillips County,17782,AR
05109,Pike County,10718,AR
05111,Poinsett County,23528,AR
05113,Polk County,19964,AR
05115,Pope County,64072,AR
05117,Prairie County,8062,AR
05119,Pulaski County,391911,AR
05121,Randolph County,17958,AR
